YGR167W	YGR167W@chrVII:832455-833157(+)
YCR032W	YCR032W@chrIII:179519-186023(+)
YPL283C	YPL283C@chrXVI:279-6007(-)
YER085C	YER085C@chrV:327618-328140(-)
YPR032W	YPR032W@chrXVI:634122-637224(+)
YBR151W	YBR151W@chrII:545027-545978(+)
YGL008C	YGL008C@chrVII:479909-482666(-)
YDR177W	YDR177W@chrIV:816877-817525(+)
YHR084W	YHR084W@chrVIII:274173-276240(+)
YDR093W	YDR093W@chrIV:631281-636120(+)
YOR174W	YOR174W@chrXV:658746-659601(+)
YDR014W	YDR014W@chrIV:474045-475989(+)
YJL045W	YJL045W@chrX:356023-357928(+)
YOL154W	YOL154W@chrXV:34657-35407(+)
YLR287C-A	YLR287C-A@chrXII:712536-713158(-)
YDR440W	YDR440W@chrIV:1342492-1344241(+)
YKL048C	YKL048C@chrXI:347213-349136(-)
YHR180C-B	YHR180C-B@chrVIII:466957-467062(-)
YMR226C	YMR226C@chrXIII:721592-722396(-)
YLR111W	YLR111W@chrXII:370390-370723(+)
YLR149C-A	YLR149C-A@chrXII:440369-440456(-)
YOR273C	YOR273C@chrXV:834451-836431(-)
snR36	snR36@chrXV:680685-680866(-)
YDL184C	YDL184C@chrIV:130406-130484(-)
YDR389W	YDR389W@chrIV:1252536-1254501(+)
YOL136C	YOL136C@chrXV:67560-68754(-)
YNL057W	YNL057W@chrXIV:516402-516735(+)
YGL123C-A	YGL123C-A@chrVII:277633-277864(-)
YDR295C	YDR295C@chrIV:1052622-1054647(-)
YOR059C	YOR059C@chrXV:438905-440258(-)
YDL019C	YDL019C@chrIV:417662-421514(-)
YER014W	YER014W@chrV:182599-184219(+)
YFL063W	YFL063W@chrVI:5065-5521(+)
YGL104C	YGL104C@chrVII:308712-310173(-)
YPL126W	YPL126W@chrXVI:310209-312900(+)
YJR055W	YJR055W@chrX:538771-539266(+)
YNR021W	YNR021W@chrXIV:668376-669591(+)
YMR041C	YMR041C@chrXIII:350965-351973(-)
YDR473C	YDR473C@chrIV:1404444-1405854(-)
YFR033C	YFR033C@chrVI:224325-224769(-)
YOL024W	YOL024W@chrXV:277085-277604(+)
YDR209C	YDR209C@chrIV:871035-871449(-)
YOR037W	YOR037W@chrXV:401554-402655(+)
YPL025C	YPL025C@chrXVI:502472-503030(-)
YMR039C	YMR039C@chrXIII:348643-349522(-)
YDL045C	YDL045C@chrIV:372687-373608(-)
YGR090W	YGR090W@chrVII:662357-666071(+)
YMR050C	YMR050C@chrXIII:373056-378325(-)
YAL008W	YAL008W@chrI:136913-137510(+)
YPL174C	YPL174C@chrXVI:220166-222773(-)
YNL052W	YNL052W@chrXIV:531724-532186(+)
YDR259C	YDR259C@chrIV:974630-975782(-)
YMR104C	YMR104C@chrXIII:473419-475453(-)
YGL122C	YGL122C@chrVII:278945-280523(-)
YML031C-A	YML031C-A@chrXIII:214085-214421(-)
YGL029W	YGL029W@chrVII:440062-440425(+)
YOL111C	YOL111C@chrXV:108257-108896(-)
YNR042W	YNR042W@chrXIV:701237-701666(+)
YHR184W	YHR184W@chrVIII:472743-474459(+)
YEL016C	YEL016C@chrV:124736-126218(-)
YPL151C	YPL151C@chrXVI:266179-267535(-)
YHR056C	YHR056C@chrVIII:215182-217834(-)
YBR039W	YBR039W@chrII:315574-316510(+)
YMR075C-A	YMR075C-A@chrXIII:415687-416053(-)
YJL127C	YJL127C@chrX:182297-184220(-)
YDL161W	YDL161W@chrIV:167713-169078(+)
YMR096W	YMR096W@chrXIII:458407-459301(+)
YJR089W	YJR089W@chrX:587717-590582(+)
YHL006W-A	YHL006W-A@chrVIII:97731-98085(+)
YDL163W	YDL163W@chrIV:166955-167258(+)
YER033C	YER033C@chrV:218056-221287(-)
YGR283C	YGR283C@chrVII:1059014-1060040(-)
YBR004C	YBR004C@chrII:244365-245667(-)
snR71	snR71@chrVIII:411228-411317(+)
YOR312C	YOR312C@chrXV:900249-901194(-)
YDR266C	YDR266C@chrIV:1000103-1002023(-)
YJR022W	YJR022W@chrX:469783-470113(+)
YLR284C	YLR284C@chrXII:706197-707040(-)
YER074W-A	YER074W-A@chrV:307652-308123(+)
YIL095W	YIL095W@chrIX:183936-186369(+)
YFL031C-A	YFL031C-A@chrVI:76013-76115(-)
YJR113C	YJR113C@chrX:638231-638975(-)
YKL066W	YKL066W@chrXI:315280-315724(+)
YIL026C	YIL026C@chrIX:304476-307929(-)
YMR157C	YMR157C@chrXIII:571276-572044(-)
YLR278C	YLR278C@chrXII:699998-704024(-)
YKL107W	YKL107W@chrXI:236140-237070(+)
YJL167W	YJL167W@chrX:105013-106072(+)
YGR142W	YGR142W@chrVII:772453-773686(+)
RPR1	RPR1@chrV:117667-118035(-)
YGR071C	YGR071C@chrVII:631480-634063(-)
YCR072C	YCR072C@chrIII:240804-242352(-)
YOR121C	YOR121C@chrXV:551797-552103(-)
YOR012W	YOR012W@chrXV:356542-356956(+)
YNR004W	YNR004W@chrXIV:635942-636383(+)
YJL132W	YJL132W@chrX:161913-164166(+)
YPL002C	YPL002C@chrXVI:553626-554328(-)
YLR010C	YLR010C@chrXII:167319-167802(-)
YNL313C	YNL313C@chrXIV:45307-48022(-)
YER098W	YER098W@chrV:355465-357730(+)
YGR036C	YGR036C@chrVII:558148-558868(-)
YER078C	YER078C@chrV:316806-318342(-)
YDR156W	YDR156W@chrIV:769524-769938(+)
YKL088W	YKL088W@chrXI:275282-276998(+)
YBR177C	YBR177C@chrII:584806-586162(-)
YJL143W	YJL143W@chrX:147100-147577(+)
YIL041W	YIL041W@chrIX:276524-277505(+)
YMR082C	YMR082C@chrXIII:431768-432125(-)
YGL018C	YGL018C@chrVII:459109-459664(-)
YKL198C	YKL198C@chrXI:68231-70220(-)
YKR089C	YKR089C@chrXI:605632-608365(-)
YBR153W	YBR153W@chrII:547459-548194(+)
YLR147C	YLR147C@chrXII:434157-434463(-)
YJL039C	YJL039C@chrX:368747-373799(-)
YNL068C	YNL068C@chrXIV:495700-498289(-)
YHR076W	YHR076W@chrVIII:251100-252225(+)
YDR238C	YDR238C@chrIV:937894-940816(-)
YBR201C-A	YBR201C-A@chrII:624492-624696(-)
YBR190W	YBR190W@chrII:605965-606277(+)
YGL040C	YGL040C@chrVII:419526-420555(-)
YCR071C	YCR071C@chrIII:240102-240543(-)
YKL094W	YKL094W@chrXI:263348-264290(+)
YKL225W	YKL225W@chrXI:450-798(+)
YPR077C	YPR077C@chrXVI:697130-697502(-)
YLR348C	YLR348C@chrXII:826976-827873(-)
YNL335W	YNL335W@chrXIV:11451-12129(+)
YIL002C	YIL002C@chrIX:350590-353431(-)
YOL107W	YOL107W@chrXV:112101-113130(+)
YOR158W	YOR158W@chrXV:632163-633120(+)
YGL253W	YGL253W@chrVII:23934-25395(+)
YLR456W	YLR456W@chrXII:1055069-1055684(+)
YLL010C	YLL010C@chrXII:129329-130613(-)
YHR089C	YHR089C@chrVIII:282680-283298(-)
snR128	snR128@chrX:139566-139691(-)
YKR094C	YKR094C@chrXI:617995-618750(-)
YMR218C	YMR218C@chrXIII:703578-706887(-)
YGL043W	YGL043W@chrVII:417482-418412(+)
YMR007W	YMR007W@chrXIII:279959-280340(+)
YOR133W	YOR133W@chrXV:575097-577626(+)
YDR499W	YDR499W@chrIV:1447829-1450073(+)
YLR063W	YLR063W@chrXII:264156-265254(+)
snR76	snR76@chrXIII:297725-297833(+)
YIL100C-A	YIL100C-A@chrIX:177342-177681(-)
YDR503C	YDR503C@chrIV:1455041-1455866(-)
YGR116W	YGR116W@chrVII:720408-724764(+)
YCR043C	YCR043C@chrIII:206260-206644(-)
YJR145C	YJR145C@chrX:702026-703068(-)
YKR004C	YKR004C@chrXI:446798-448036(-)
YGL263W	YGL263W@chrVII:2789-3932(+)
YGL117W	YGL117W@chrVII:288511-289309(+)
YNL226W	YNL226W@chrXIV:222238-222649(+)
YLR235C	YLR235C@chrXII:611531-611930(-)
YMR272W-A	YMR272W-A@chrXIII:810465-810579(+)
YPR159C-A	YPR159C-A@chrXVI:860313-860415(-)
YLR201C	YLR201C@chrXII:549510-550293(-)
YJL050W	YJL050W@chrX:342521-345743(+)
YBR018C	YBR018C@chrII:274426-275527(-)
YML021C	YML021C@chrXIII:229733-230813(-)
YGR121W-A	YGR121W-A@chrVII:733411-733627(+)
YJL148W	YJL148W@chrX:140436-141138(+)
YGL072C	YGL072C@chrVII:371002-371362(-)
YDL143W	YDL143W@chrIV:199995-201582(+)
YJR042W	YJR042W@chrX:514054-516289(+)
YKL162C-A	YKL162C-A@chrXI:145921-146074(-)
YBR003W	YBR003W@chrII:242808-244230(+)
YLR045C	YLR045C@chrXII:235036-237703(-)
YJL208C	YJL208C@chrX:40193-41183(-)
YOL056W	YOL056W@chrXV:223267-224179(+)
YJL136W-A	YJL136W-A@chrX:156168-156252(+)
YPL078C	YPL078C@chrXVI:408009-408744(-)
YDR111C	YDR111C@chrIV:678240-679764(-)
YAR075W	YAR075W@chrI:228843-229317(+)
YLR027C	YLR027C@chrXII:196828-198085(-)
YLR151C	YLR151C@chrXII:441714-442737(-)
YCL076W	YCL076W@chrIII:1391-2135(+)
YOR393W	YOR393W@chrXV:1080275-1081589(+)
YML112W	YML112W@chrXIII:45062-45953(+)
YKL213C	YKL213C@chrXI:31959-34107(-)
YIR031C	YIR031C@chrIX:413014-414679(-)
YDR401W	YDR401W@chrIV:1272222-1272786(+)
YPR158W-A	YPR158W-A@chrXVI:844708-846031(+)
YDR254W	YDR254W@chrIV:965112-966489(+)
YOR022C	YOR022C@chrXV:373709-375857(-)
YNL277W	YNL277W@chrXIV:117348-118809(+)
YPL045W	YPL045W@chrXVI:467259-469656(+)
YBR141C	YBR141C@chrII:527024-528038(-)
YOL045W	YOL045W@chrXV:243496-246802(+)
YCR065W	YCR065W@chrIII:229309-231004(+)
YHR061C	YHR061C@chrVIII:221533-222478(-)
YEL062W	YEL062W@chrV:34406-36254(+)
YIL090W	YIL090W@chrIX:193594-195070(+)
YMR215W	YMR215W@chrXIII:696795-698370(+)
YNL187W	YNL187W@chrXIV:287993-289067(+)
YDR288W	YDR288W@chrIV:1037194-1038106(+)
YPR063C	YPR063C@chrXVI:677811-678320(-)
YER189W	YER189W@chrV:571154-571523(+)
YFR024C-A	YFR024C-A@chrVI:201959-203433(-)
YKL217W	YKL217W@chrXI:22233-24084(+)
YLR254C	YLR254C@chrXII:644403-644973(-)
YMR046C	YMR046C@chrXIII:361304-362627(-)
YOR111W	YOR111W@chrXV:530428-531127(+)
YDL181W	YDL181W@chrIV:135178-135436(+)
YNL259C	YNL259C@chrXIV:157643-157865(-)
YOR116C	YOR116C@chrXV:539762-544145(-)
YGL245W	YGL245W@chrVII:39022-41149(+)
YMR255W	YMR255W@chrXIII:778000-778567(+)
YJR105W	YJR105W@chrX:623580-624603(+)
YBR104W	YBR104W@chrII:449666-450656(+)
YKL212W	YKL212W@chrXI:34542-36414(+)
YBR301W	YBR301W@chrII:809056-809419(+)
YBR006W	YBR006W@chrII:247009-248503(+)
YHR079C	YHR079C@chrVIII:258243-261591(-)
YMR153W	YMR153W@chrXIII:564434-565862(+)
YJR139C	YJR139C@chrX:689444-690524(-)
YBL068W	YBL068W@chrII:92413-93394(+)
YDR034C-A	YDR034C-A@chrIV:520515-520692(-)
YER174C	YER174C@chrV:538433-539168(-)
YDL100C	YDL100C@chrIV:282111-283176(-)
YKL039W	YKL039W@chrXI:362621-364193(+)
YMR167W	YMR167W@chrXIII:594885-597195(+)
YHR092C	YHR092C@chrVIII:287080-288811(-)
YJR088C	YJR088C@chrX:586494-587373(-)
YOR347C	YOR347C@chrXV:984941-986462(-)
YML051W	YML051W@chrXIII:171593-172901(+)
YCL063W	YCL063W@chrIII:17289-18561(+)
YIL105C	YIL105C@chrIX:167580-169641(-)
YNL244C	YNL244C@chrXIV:187169-187496(-)
YGR284C	YGR284C@chrVII:1060657-1061590(-)
YLR461W	YLR461W@chrXII:1062918-1063281(+)
YNL257C	YNL257C@chrXIV:160630-164320(-)
YJL186W	YJL186W@chrX:80154-81915(+)
YCL026C-B	YCL026C-B@chrIII:73404-73986(-)
YDL176W	YDL176W@chrIV:142096-144223(+)
YFR011C	YFR011C@chrVI:166745-167258(-)
YMR317W	YMR317W@chrXIII:907363-910786(+)
YEL076C-A	YEL076C-A@chrV:4184-5114(-)
YGL016W	YGL016W@chrVII:461665-464911(+)
YFL039C	YFL039C@chrVI:53259-54696(-)
YAL034W-A	YAL034W-A@chrI:79717-80587(+)
YER032W	YER032W@chrV:215062-217693(+)
YHR041C	YHR041C@chrVIII:189130-189864(-)
YOR052C	YOR052C@chrXV:426771-427224(-)
YBR020W	YBR020W@chrII:279020-280607(+)
YER168C	YER168C@chrV:521028-522669(-)
YBR226C	YBR226C@chrII:673154-673565(-)
YGL035C	YGL035C@chrVII:431547-433062(-)
YMR094W	YMR094W@chrXIII:455824-457261(+)
YIL066C	YIL066C@chrIX:238098-240708(-)
YMR322C	YMR322C@chrXIII:918365-919079(-)
YLR256W-A	YLR256W-A@chrXII:651116-652439(+)
YCR105W	YCR105W@chrIII:309069-310155(+)
YML131W	YML131W@chrXIII:10197-11295(+)
YBL113C	YBL113C@chrII:279-2658(-)
YOR339C	YOR339C@chrXV:958361-958832(-)
YCR045W-A	YCR045W-A@chrIII:208750-209101(+)
YNL077W	YNL077W@chrXIV:481390-482977(+)
YGL162W	YGL162W@chrVII:198137-199037(+)
YOR294W	YOR294W@chrXV:868339-868951(+)
YML120C	YML120C@chrXIII:28265-29807(-)
YBR210W	YBR210W@chrII:645549-645978(+)
YNL163C	YNL163C@chrXIV:326740-330073(-)
YLR453C	YLR453C@chrXII:1041798-1042986(-)
YDR261C-C	YDR261C-C@chrIV:991026-992349(-)
YDR198C	YDR198C@chrIV:852532-853972(-)
YHR098C	YHR098C@chrVIII:299144-301934(-)
YIL137C	YIL137C@chrIX:89947-92788(-)
YGL057C	YGL057C@chrVII:394965-395829(-)
snR14	snR14@chrV:167427-167586(-)
YDR087C	YDR087C@chrIV:617469-618306(-)
YHR028C	YHR028C@chrVIII:164977-167434(-)
YOR161C	YOR161C@chrXV:636938-638558(-)
YOR384W	YOR384W@chrXV:1061563-1063648(+)
YOR166C	YOR166C@chrXV:647125-648502(-)
YDR191W	YDR191W@chrIV:842336-843449(+)
YGR282C	YGR282C@chrVII:1057782-1058724(-)
YBL001C	YBL001C@chrII:237152-237467(-)
YJL072C	YJL072C@chrX:305220-305862(-)
YML070W	YML070W@chrXIII:133474-135229(+)
snR42	snR42@chrXI:559016-559366(-)
YPR120C	YPR120C@chrXVI:773874-775182(-)
YKL130C	YKL130C@chrXI:195287-196028(-)
YIL148W	YIL148W@chrIX:68707-69528(+)
YDR475C	YDR475C@chrIV:1407463-1410094(-)
YCR021C	YCR021C@chrIII:156108-157107(-)
YBL106C	YBL106C@chrII:10846-13879(-)
YNL327W	YNL327W@chrXIV:24047-27173(+)
YHR017W	YHR017W@chrVIII:138693-139851(+)
YNR071C	YNR071C@chrXIV:770439-771468(-)
RDN37-1	RDN37-1@chrXII:451575-451785(-)
YPL062W	YPL062W@chrXVI:431894-432299(+)
YFL011W	YFL011W@chrVI:112344-113985(+)
YBR295W	YBR295W@chrII:792848-796499(+)
YGR244C	YGR244C@chrVII:978035-979319(-)
YMR054W	YMR054W@chrXIII:383302-385975(+)
YHR176W	YHR176W@chrVIII:454228-455527(+)
YMR254C	YMR254C@chrXIII:777614-777923(-)
YLR046C	YLR046C@chrXII:238000-238813(-)
YBL078C	YBL078C@chrII:80377-80731(-)
YDR034C-C	YDR034C-C@chrIV:518039-519356(-)
YIL060W	YIL060W@chrIX:246391-246826(+)
YOR388C	YOR388C@chrXV:1071792-1072923(-)
YJL071W	YJL071W@chrX:306131-307856(+)
YPR127W	YPR127W@chrXVI:790082-791120(+)
YHR133C	YHR133C@chrVIII:370721-371597(-)
YLR144C	YLR144C@chrXII:429676-432016(-)
Q0060	Q0060@chrM:13817-19996(+)
YBR224W	YBR224W@chrII:670124-670640(+)
YJL030W	YJL030W@chrX:387656-388247(+)
YPL261C	YPL261C@chrXVI:48995-49304(-)
YGR245C	YGR245C@chrVII:979764-982068(-)
YBR264C	YBR264C@chrII:737769-738369(-)
YNL268W	YNL268W@chrXIV:138549-140385(+)
YPR021C	YPR021C@chrXVI:600648-603357(-)
YKR007W	YKR007W@chrXI:451433-451988(+)
YMR212C	YMR212C@chrXIII:690694-693043(-)
YGR122W	YGR122W@chrVII:733934-735143(+)
YOR072W-B	YOR072W-B@chrXV:464468-464630(+)
YER006W	YER006W@chrV:162722-164285(+)
YBL086C	YBL086C@chrII:61201-62602(-)
YPR073C	YPR073C@chrXVI:691932-692418(-)
YOR200W	YOR200W@chrXV:720416-720815(+)
YBR012W-B	YBR012W-B@chrII:259868-265140(+)
YDR352W	YDR352W@chrIV:1181800-1182754(+)
YER084W-A	YER084W-A@chrV:327597-328110(+)
YOR238W	YOR238W@chrXV:783676-784588(+)
YFL047W	YFL047W@chrVI:40420-42565(+)
YDR234W	YDR234W@chrIV:931128-933210(+)
YDR383C	YDR383C@chrIV:1239959-1240676(-)
YOR008C	YOR008C@chrXV:341277-342414(-)
YCR085W	YCR085W@chrIII:262915-263269(+)
YMR036C	YMR036C@chrXIII:341855-343520(-)
YGL258W	YGL258W@chrVII:11109-11730(+)
YPL030W	YPL030W@chrXVI:493542-495246(+)
YDR529C	YDR529C@chrIV:1496164-1496548(-)
YMR175W	YMR175W@chrXIII:611015-611255(+)
YNL269W	YNL269W@chrXIV:137698-138094(+)
YER165W	YER165W@chrV:510372-512106(+)
YJL091C	YJL091C@chrX:261079-262552(-)
YHR004C	YHR004C@chrVIII:111753-113094(-)
YER076C	YER076C@chrV:312589-313498(-)
YML106W	YML106W@chrXIII:56772-57453(+)
YJR053W	YJR053W@chrX:534026-535751(+)
YNR025C	YNR025C@chrXIV:672701-673061(-)
YNL197C	YNL197C@chrXIV:267607-269593(-)
YJR083C	YJR083C@chrX:582607-583537(-)
YNL059C	YNL059C@chrXIV:512667-514935(-)
YDR395W	YDR395W@chrIV:1263323-1266158(+)
YGR048W	YGR048W@chrVII:589825-590911(+)
YGR238C	YGR238C@chrVII:966038-968687(-)
YIR006C	YIR006C@chrIX:365465-369908(-)
YGR220C	YGR220C@chrVII:936073-936883(-)
YBR148W	YBR148W@chrII:537875-539705(+)
YDL207W	YDL207W@chrIV:88247-89864(+)
YBR014C	YBR014C@chrII:266724-267336(-)
YJL097W	YJL097W@chrX:245590-246244(+)
YDR451C	YDR451C@chrIV:1361119-1362181(-)
YIL005W	YIL005W@chrIX:345691-347797(+)
YDR270W	YDR270W@chrIV:1005674-1008689(+)
YBR242W	YBR242W@chrII:704669-705386(+)
YLR052W	YLR052W@chrXII:247200-247953(+)
YKL123W	YKL123W@chrXI:212042-212423(+)
YMR158W-B	YMR158W-B@chrXIII:574470-574791(+)
YDL107W	YDL107W@chrIV:268920-269976(+)
YPL039W	YPL039W@chrXVI:479224-480175(+)
YKR066C	YKR066C@chrXI:566112-567198(-)
YGR005C	YGR005C@chrVII:504656-505859(-)
YAL069W	YAL069W@chrI:334-649(+)
YNL030W	YNL030W@chrXIV:576726-577038(+)
YER025W	YER025W@chrV:205250-206834(+)
YGR086C	YGR086C@chrVII:649597-650617(-)
YGR120C	YGR120C@chrVII:730032-730821(-)
YMR246W	YMR246W@chrXIII:759806-761891(+)
YPL132W	YPL132W@chrXVI:301715-302618(+)
YBR262C	YBR262C@chrII:735719-736040(-)
YAL047W-A	YAL047W-A@chrI:54583-54913(+)
YER019C-A	YER019C-A@chrV:194272-194539(-)
YJL194W	YJL194W@chrX:69337-70879(+)
YER179W	YER179W@chrV:548420-549517(+)
YHR002W	YHR002W@chrVIII:108811-109885(+)
YDR281C	YDR281C@chrIV:1022006-1022321(-)
YDR443C	YDR443C@chrIV:1345675-1349938(-)
YOR237W	YOR237W@chrXV:781993-783298(+)
YLR404W	YLR404W@chrXII:928742-929600(+)
YOR276W	YOR276W@chrXV:841332-841818(+)
Q0075	Q0075@chrM:24155-25255(+)
YGL132W	YGL132W@chrVII:261579-261915(+)
YDR293C	YDR293C@chrIV:1045639-1049392(-)
YHR209W	YHR209W@chrVIII:519436-520312(+)
YDR166C	YDR166C@chrIV:786305-789221(-)
YKL204W	YKL204W@chrXI:53703-55602(+)
YPR043W	YPR043W@chrXVI:654165-654847(+)
YPR026W	YPR026W@chrXVI:615378-619014(+)
YMR018W	YMR018W@chrXIII:310207-311752(+)
YBL051C	YBL051C@chrII:122752-124759(-)
YGL242C	YGL242C@chrVII:44651-45197(-)
YHR028W-A	YHR028W-A@chrVIII:167351-167672(+)
YDR374W-A	YDR374W-A@chrIV:1224756-1225026(+)
YKL206C	YKL206C@chrXI:49005-49809(-)
YGL120C	YGL120C@chrVII:281633-283937(-)
YER110C	YER110C@chrV:378761-382103(-)
YJR129C	YJR129C@chrX:663999-665019(-)
YMR111C	YMR111C@chrXIII:492403-493792(-)
YGL073W	YGL073W@chrVII:368752-371254(+)
YGL155W	YGL155W@chrVII:214080-215211(+)
YBR232C	YBR232C@chrII:683372-683732(-)
YKL020C	YKL020C@chrXI:398831-402080(-)
YMR314W	YMR314W@chrXIII:901708-902413(+)
snR62	snR62@chrXV:409765-409864(-)
YDR043C	YDR043C@chrIV:542673-543369(-)
YNL180C	YNL180C@chrXIV:299653-300649(-)
YPR160W-A	YPR160W-A@chrXVI:861933-862014(+)
YDR076W	YDR076W@chrIV:598467-599688(+)
YBL034C	YBL034C@chrII:153847-158389(-)
YKL183C-A	YKL183C-A@chrXI:98394-98607(-)
YPR028W	YPR028W@chrXVI:623526-624202(+)
YHL024W	YHL024W@chrVIII:56648-58790(+)
YEL006W	YEL006W@chrV:144326-145334(+)
YDR388W	YDR388W@chrIV:1250185-1251634(+)
YLR216C	YLR216C@chrXII:572095-573211(-)
YLR214W	YLR214W@chrXII:568566-570627(+)
YIL166C	YIL166C@chrIX:30937-32566(-)
YOL150C	YOL150C@chrXV:44472-44784(-)
YGL251C	YGL251C@chrVII:27920-31636(-)
YDL018C	YDL018C@chrIV:422832-423510(-)
YOL051W	YOL051W@chrXV:234939-238185(+)
YDR183C-A	YDR183C-A@chrIV:830396-830654(-)
YKL069W	YKL069W@chrXI:307284-307827(+)
YNL315C	YNL315C@chrXIV:43323-44280(-)
YLR139C	YLR139C@chrXII:421541-423473(-)
YDR034W-B	YDR034W-B@chrIV:521313-521469(+)
YML032C	YML032C@chrXIII:212514-213930(-)
YML086C	YML086C@chrXIII:95790-97371(-)
YFL005W	YFL005W@chrVI:130333-130981(+)
YFR046C	YFR046C@chrVI:243073-244159(-)
YBR219C	YBR219C@chrII:662498-663303(-)
YGR161C-C	YGR161C-C@chrVII:821692-823015(-)
YHR143W-A	YHR143W-A@chrVIII:387232-387445(+)
YLL028W	YLL028W@chrXII:84803-86564(+)
YOR071C	YOR071C@chrXV:459479-461276(-)
YLR031W	YLR031W@chrXII:204224-204785(+)
YDL102W	YDL102W@chrIV:276871-280165(+)
YOL057W	YOL057W@chrXV:220766-222902(+)
YJL216C	YJL216C@chrX:24340-26086(-)
YER133W	YER133W@chrV:432494-433958(+)
YCR033W	YCR033W@chrIII:186488-190169(+)
YBR193C	YBR193C@chrII:609081-609753(-)
YGL034C	YGL034C@chrVII:433213-433579(-)
YHR195W	YHR195W@chrVIII:490746-491712(+)
YNL190W	YNL190W@chrXIV:282394-283009(+)
YKR032W	YKR032W@chrXI:506516-506831(+)
YLR051C	YLR051C@chrXII:246323-246977(-)
YPR175W	YPR175W@chrXVI:888973-891043(+)
YBL005W-A	YBL005W-A@chrII:221329-222652(+)
YDL168W	YDL168W@chrIV:159603-160764(+)
YNL308C	YNL308C@chrXIV:54121-55897(-)
YHR103W	YHR103W@chrVIII:320413-322972(+)
YHR152W	YHR152W@chrVIII:401433-401955(+)
YGR185C	YGR185C@chrVII:866335-867520(-)
YGL097W	YGL097W@chrVII:321781-323230(+)
YDL167C	YDL167C@chrIV:160994-163154(-)
YMR173W	YMR173W@chrXIII:608688-609981(+)
YDR061W	YDR061W@chrIV:574163-575783(+)
YOL059W	YOL059W@chrXV:217125-218448(+)
YHR185C	YHR185C@chrVIII:474626-475340(-)
YGL188C	YGL188C@chrVII:149342-149516(-)
YGR022C	YGR022C@chrVII:529256-529586(-)
YER152C	YER152C@chrV:472656-473988(-)
YBR056W	YBR056W@chrII:347878-349384(+)
YGL189C	YGL189C@chrVII:148228-148588(-)
YKR034W	YKR034W@chrXI:506897-507707(+)
YNL036W	YNL036W@chrXIV:559813-560479(+)
YLR341W	YLR341W@chrXII:807384-808818(+)
YIL056W	YIL056W@chrIX:249990-251913(+)
YLR399C	YLR399C@chrXII:919535-921596(-)
YER121W	YER121W@chrV:402374-402719(+)
YGR275W	YGR275W@chrVII:1043275-1043749(+)
YDR040C	YDR040C@chrIV:535191-538467(-)
YBR106W	YBR106W@chrII:452657-453224(+)
YDR414C	YDR414C@chrIV:1295597-1296686(-)
YMR242W-A	YMR242W-A@chrXIII:754296-754386(+)
YDR248C	YDR248C@chrIV:957757-958339(-)
YEL010W	YEL010W@chrV:136278-136629(+)
YDR506C	YDR506C@chrIV:1459727-1461554(-)
YBR071W	YBR071W@chrII:380410-381046(+)
YAR018C	YAR018C@chrI:170395-171703(-)
YBL103C	YBL103C@chrII:22075-23536(-)
YMR158C-A	YMR158C-A@chrXIII:573193-573331(-)
YPR148C	YPR148C@chrXVI:826832-828140(-)
YNL214W	YNL214W@chrXIV:245616-246216(+)
YDR382W	YDR382W@chrIV:1239491-1239824(+)
YJL161W	YJL161W@chrX:117244-117787(+)
YPL105C	YPL105C@chrXVI:352862-355412(-)
Q0115	Q0115@chrM:36539-40265(+)
YPR204W	YPR204W@chrXVI:944602-947701(+)
YIL020C-A	YIL020C-A@chrIX:313712-314051(-)
YLR417W	YLR417W@chrXII:955009-956710(+)
YHR006W	YHR006W@chrVIII:117813-119439(+)
RUF5-1	RUF5-1@chrVIII:212409-213118(+)
YJL038C	YJL038C@chrX:375114-375774(-)
YCL018W	YCL018W@chrIII:91323-92418(+)
YLL009C	YLL009C@chrXII:131204-131414(-)
YDL035C	YDL035C@chrIV:389171-392057(-)
YCR020C-A	YCR020C-A@chrIII:154829-155096(-)
YGL136C	YGL136C@chrVII:252896-253859(-)
YBR028C	YBR028C@chrII:294424-296002(-)
YKL152C	YKL152C@chrXI:163641-164385(-)
YCR002C	YCR002C@chrIII:117379-118348(-)
YJL215C	YJL215C@chrX:26411-26771(-)
YLR171W	YLR171W@chrXII:500732-501122(+)
YAL034C-B	YAL034C-B@chrI:79488-79842(-)
YNR022C	YNR022C@chrXIV:669773-670193(-)
snR18	snR18@chrI:142367-142468(+)
YPL164C	YPL164C@chrXVI:239349-241497(-)
YOR042W	YOR042W@chrXV:408424-409660(+)
YOR067C	YOR067C@chrXV:451728-453462(-)
YOR274W	YOR274W@chrXV:837673-838960(+)
YNL287W	YNL287W@chrXIV:91993-94801(+)
YBR176W	YBR176W@chrII:583719-584658(+)
YDL236W	YDL236W@chrIV:32295-33234(+)
YLR137W	YLR137W@chrXII:417005-418109(+)
YOR178C	YOR178C@chrXV:667859-670241(-)
YGL002W	YGL002W@chrVII:494516-495167(+)
YPL251W	YPL251W@chrXVI:73624-73927(+)
YKL046C	YKL046C@chrXI:351274-352624(-)
YLR392C	YLR392C@chrXII:904748-906305(-)
YJL154C	YJL154C@chrX:131100-133935(-)
YLR394W	YLR394W@chrXII:907949-909398(+)
YNR032W	YNR032W@chrXIV:686009-687116(+)
YJR122W	YJR122W@chrX:649775-651269(+)
YOL096C	YOL096C@chrXV:138106-139045(-)
YDR532C	YDR532C@chrIV:1499395-1500553(-)
