YIL046W-A	YIL046W-A@chrIX:268116(+)
YIL009W	YIL009W@chrIX:339336(+)
YGL146C	YGL146C@chrVII:229724(-)
YNL230C	YNL230C@chrXIV:218725(-)
YBL064C	YBL064C@chrII:101188(-)
YIL040W	YIL040W@chrIX:277714(+)
YNL275W	YNL275W@chrXIV:119251(+)
YOL003C	YOL003C@chrXV:323019(-)
YER131W	YER131W@chrV:423536(+)
YNL151C	YNL151C@chrXIV:348571(-)
YDR378C	YDR378C@chrIV:1229627(-)
YPR102C	YPR102C@chrXVI:731783(-)
YCR092C	YCR092C@chrIII:279856(-)
YDR247W	YDR247W@chrIV:955644(+)
YGL124C	YGL124C@chrVII:276752(-)
YML073C	YML073C@chrXIII:124197(-)
YDL136W	YDL136W@chrIV:217567(+)
YHR172W	YHR172W@chrVIII:448218(+)
YNL044W	YNL044W@chrXIV:545197(+)
YDL007W	YDL007W@chrIV:438014(+)
YLR065C	YLR065C@chrXII:266950(-)
YMR079W	YMR079W@chrXIII:424954(+)
YOR045W	YOR045W@chrXV:413795(+)
YDL133W	YDL133W@chrIV:222292(+)
YDR251W	YDR251W@chrIV:960308(+)
YPR134W	YPR134W@chrXVI:798042(+)
YCR073C	YCR073C@chrIII:246648(-)
YMR291W	YMR291W@chrXIII:852547(+)
YML107C	YML107C@chrXIII:56282(-)
YPR153W	YPR153W@chrXVI:833648(+)
YNL085W	YNL085W@chrXIV:466865(+)
YLR057W	YLR057W@chrXII:255252(+)
YOR195W	YOR195W@chrXV:712796(+)
YHR069C	YHR069C@chrVIII:234672(-)
YOL157C	YOL157C@chrXV:24348(-)
YDR140W	YDR140W@chrIV:734124(+)
YER176W	YER176W@chrV:541638(+)
YML019W	YML019W@chrXIII:233444(+)
YBR101C	YBR101C@chrII:444743(-)
YDR018C	YDR018C@chrIV:483879(-)
YML079W	YML079W@chrXIII:110238(+)
YJR007W	YJR007W@chrX:450924(+)
YCR043C	YCR043C@chrIII:206677(-)
YER050C	YER050C@chrV:254444(-)
YKL185W	YKL185W@chrXI:94151(+)
YHR046C	YHR046C@chrVIII:198316(-)
YFL017W-A	YFL017W-A@chrVI:103642(+)
YDL018C	YDL018C@chrIV:423570(-)
YDR205W	YDR205W@chrIV:859333(+)
YDR382W	YDR382W@chrIV:1239411(+)
YMR165C	YMR165C@chrXIII:592736(-)
YHR059W	YHR059W@chrVIII:220056(+)
YGL257C	YGL257C@chrVII:14266(-)
YGR148C	YGR148C@chrVII:788200(-)
YIL021W	YIL021W@chrIX:312843(+)
YLR099W-A	YLR099W-A@chrXII:341291(+)
YER032W	YER032W@chrV:214979(+)
YJL062W	YJL062W@chrX:317259(+)
YNL125C	YNL125C@chrXIV:392343(-)
YGL180W	YGL180W@chrVII:159882(+)
YJL061W	YJL061W@chrX:319976(+)
YKL104C	YKL104C@chrXI:245575(-)
YMR282C	YMR282C@chrXIII:835142(-)
YKL092C	YKL092C@chrXI:269535(-)
YIL153W	YIL153W@chrIX:55177(+)
YHR112C	YHR112C@chrVIII:335695(-)
YDR483W	YDR483W@chrIV:1421131(+)
YPL106C	YPL106C@chrXVI:352316(-)
YGR087C	YGR087C@chrVII:653013(-)
YGL003C	YGL003C@chrVII:494277(-)
YNR038W	YNR038W@chrXIV:695591(+)
YGL258W	YGL258W@chrVII:10443(+)
YIL014W	YIL014W@chrIX:325929(+)
YOR231W	YOR231W@chrXV:772452(+)
YDR280W	YDR280W@chrIV:1020639(+)
YJR042W	YJR042W@chrX:514032(+)
YAL012W	YAL012W@chrI:130744(+)
YHR094C	YHR094C@chrVIII:292666(-)
YOL037C	YOL037C@chrXV:257077(-)
YJL008C	YJL008C@chrX:421706(-)
YML074C	YML074C@chrXIII:121350(-)
YOL008W	YOL008W@chrXV:310296(+)
YJL148W	YJL148W@chrX:140380(+)
YJL024C	YJL024C@chrX:396623(-)
YLR459W	YLR459W@chrXII:1057322(+)
YJL074C	YJL074C@chrX:302872(-)
YBR253W	YBR253W@chrII:723209(+)
YOL102C	YOL102C@chrXV:126690(-)
YFL048C	YFL048C@chrVI:40202(-)
YOR340C	YOR340C@chrXV:960211(-)
YMR124W	YMR124W@chrXIII:514141(+)
YDL240W	YDL240W@chrIV:22657(+)
YPR063C	YPR063C@chrXVI:678373(-)
YDR237W	YDR237W@chrIV:936473(+)
YDL234C	YDL234C@chrIV:36620(-)
YDR408C	YDR408C@chrIV:1288905(-)
YGR004W	YGR004W@chrVII:502878(+)
YBR217W	YBR217W@chrII:657768(+)
YER025W	YER025W@chrV:205193(+)
YER054C	YER054C@chrV:264128(-)
YGL248W	YGL248W@chrVII:35524(+)
YPL013C	YPL013C@chrXVI:529377(-)
YLR052W	YLR052W@chrXII:247195(+)
YPL215W	YPL215W@chrXVI:147387(+)
YML004C	YML004C@chrXIII:262700(-)
YML067C	YML067C@chrXIII:140234(-)
YOL080C	YOL080C@chrXV:181471(-)
YML131W	YML131W@chrXIII:10158(+)
YDR338C	YDR338C@chrIV:1149525(-)
YIL106W	YIL106W@chrIX:166399(+)
YLR288C	YLR288C@chrXII:714929(-)
YOR213C	YOR213C@chrXV:745399(-)
YLR181C	YLR181C@chrXII:517737(-)
YGR172C	YGR172C@chrVII:843621(-)
YNL040W	YNL040W@chrXIV:553351(+)
YDR380W	YDR380W@chrIV:1234113(+)
YJL010C	YJL010C@chrX:419599(-)
YDL027C	YDL027C@chrIV:405003(-)
YIL038C	YIL038C@chrIX:282895(-)
YJR044C	YJR044C@chrX:519277(-)
YPL069C	YPL069C@chrXVI:423918(-)
YJL159W	YJL159W@chrX:120395(+)
YAL049C	YAL049C@chrI:52661(-)
YLR001C	YLR001C@chrXII:154008(-)
YIL115C	YIL115C@chrIX:148889(-)
YDL174C	YDL174C@chrIV:147617(-)
YHR127W	YHR127W@chrVIII:360868(+)
YIL063C	YIL063C@chrIX:243789(-)
YLR368W	YLR368W@chrXII:857486(+)
YOR250C	YOR250C@chrXV:802342(-)
YNL178W	YNL178W@chrXIV:302662(+)
YGR138C	YGR138C@chrVII:765886(-)
YDL065C	YDL065C@chrIV:337296(-)
YBR248C	YBR248C@chrII:716524(-)
YER134C	YER134C@chrV:437849(-)
YGL080W	YGL080W@chrVII:358606(+)
YOR001W	YOR001W@chrXV:326801(+)
YCL063W	YCL063W@chrIII:17250(+)
YLR246W	YLR246W@chrXII:627117(+)
YMR234W	YMR234W@chrXIII:740193(+)
YOR096W	YOR096W@chrXV:505766(+)
YMR243C	YMR243C@chrXIII:756277(-)
YKL189W	YKL189W@chrXI:84605(+)
YML075C	YML075C@chrXIII:118976(-)
YKL039W	YKL039W@chrXI:362504(+)
YER141W	YER141W@chrV:453429(+)
YDR345C	YDR345C@chrIV:1164692(-)
YOL025W	YOL025W@chrXV:274901(+)
YDL225W	YDL225W@chrIV:52395(+)
YDL221W	YDL221W@chrIV:61156(+)
YFL034C-B	YFL034C-B@chrVI:64057(-)
YKR016W	YKR016W@chrXI:469671(+)
YHR150W	YHR150W@chrVIII:397189(+)
YJL052W	YJL052W@chrX:338197(+)
YPL258C	YPL258C@chrXVI:55381(-)
YDR387C	YDR387C@chrIV:1249967(-)
YKR066C	YKR066C@chrXI:567218(-)
YLR226W	YLR226W@chrXII:589305(+)
YBR132C	YBR132C@chrII:501606(-)
YGR012W	YGR012W@chrVII:513130(+)
YNR039C	YNR039C@chrXIV:699474(-)
YCL039W	YCL039W@chrIII:52625(+)
YNL016W	YNL016W@chrXIV:602854(+)
YGR020C	YGR020C@chrVII:527393(-)
YBR007C	YBR007C@chrII:251106(-)
YNL258C	YNL258C@chrXIV:160381(-)
YGL005C	YGL005C@chrVII:490576(-)
YDR514C	YDR514C@chrIV:1473060(-)
YOR166C	YOR166C@chrXV:648557(-)
YFL030W	YFL030W@chrVI:76827(+)
YPR145W	YPR145W@chrXVI:822578(+)
YOR032C	YOR032C@chrXV:391240(-)
YKL133C	YKL133C@chrXI:193083(-)
YGL230C	YGL230C@chrVII:64257(-)
YDR249C	YDR249C@chrIV:959860(-)
YKR014C	YKR014C@chrXI:466214(-)
YJR060W	YJR060W@chrX:548710(+)
YNL070W	YNL070W@chrXIV:493313(+)
YMR217W	YMR217W@chrXIII:701697(+)
YKR001C	YKR001C@chrXI:442757(-)
YER048W-A	YER048W-A@chrV:250637(+)
YOR272W	YOR272W@chrXV:832766(+)
YGL135W	YGL135W@chrVII:254577(+)
YHR058C	YHR058C@chrVIII:219928(-)
YKL002W	YKL002W@chrXI:437701(+)
YEL064C	YEL064C@chrV:31268(-)
YLR187W	YLR187W@chrXII:524634(+)
YLR154C	YLR154C@chrXII:448397(-)
YPL210C	YPL210C@chrXVI:156237(-)
YDR177W	YDR177W@chrIV:816780(+)
YKL179C	YKL179C@chrXI:112518(-)
YKL009W	YKL009W@chrXI:426200(+)
YGR082W	YGR082W@chrVII:643997(+)
YCR008W	YCR008W@chrIII:127988(+)
YJL121C	YJL121C@chrX:191130(-)
YML123C	YML123C@chrXIII:25839(-)
YHR039C	YHR039C@chrVIII:186919(-)
YML128C	YML128C@chrXIII:16724(-)
YMR076C	YMR076C@chrXIII:420119(-)
YDR232W	YDR232W@chrIV:927201(+)
YMR226C	YMR226C@chrXIII:722446(-)
YPR041W	YPR041W@chrXVI:648597(+)
YDR498C	YDR498C@chrIV:1447029(-)
YDL078C	YDL078C@chrIV:316460(-)
YDL117W	YDL117W@chrIV:248284(+)
YJR056C	YJR056C@chrX:542699(-)
YBL025W	YBL025W@chrII:171433(+)
YDR367W	YDR367W@chrIV:1212792(+)
YOR326W	YOR326W@chrXV:925520(+)
YHR108W	YHR108W@chrVIII:328265(+)
YGL244W	YGL244W@chrVII:41423(+)
YJR129C	YJR129C@chrX:665065(-)
YOR149C	YOR149C@chrXV:611449(-)
YPL031C	YPL031C@chrXVI:493073(-)
YIL138C	YIL138C@chrIX:89725(-)
YNL240C	YNL240C@chrXIV:199998(-)
YHR141C	YHR141C@chrVIII:382774(-)
YEL008W	YEL008W@chrV:140400(+)
YGL200C	YGL200C@chrVII:123329(-)
YOL006C	YOL006C@chrXV:315469(-)
YPL195W	YPL195W@chrXVI:176210(+)
YPL026C	YPL026C@chrXVI:502251(-)
YOR021C	YOR021C@chrXV:373479(-)
YBR251W	YBR251W@chrII:721354(+)
YMR209C	YMR209C@chrXIII:687317(-)
YDR306C	YDR306C@chrIV:1075223(-)
YML085C	YML085C@chrXIII:99451(-)
YOR307C	YOR307C@chrXV:894264(-)
YDL025W-A	YDL025W-A@chrIV:405290(+)
YOR257W	YOR257W@chrXV:810974(+)
YLR364W	YLR364W@chrXII:854012(+)
YPL001W	YPL001W@chrXVI:554576(+)
YDL235C	YDL235C@chrIV:34032(-)
YOR142W	YOR142W@chrXV:592864(+)
YDR296W	YDR296W@chrIV:1055159(+)
YMR043W	YMR043W@chrXIII:353864(+)
YDR233C	YDR233C@chrIV:930416(-)
YIL147C	YIL147C@chrIX:73669(-)
YLR439W	YLR439W@chrXII:1014441(+)
YLR386W	YLR386W@chrXII:893606(+)
YER188W	YER188W@chrV:567896(+)
YPL023C	YPL023C@chrXVI:506443(-)
YPR173C	YPR173C@chrXVI:887869(-)
YDR146C	YDR146C@chrIV:750906(-)
YOL060C	YOL060C@chrXV:216203(-)
YNL294C	YNL294C@chrXIV:80439(-)
YOL072W	YOL072W@chrXV:194948(+)
YJL111W	YJL111W@chrX:207826(+)
YHR183W	YHR183W@chrVIII:470883(+)
YMR052W	YMR052W@chrXIII:379566(+)
YKL091C	YKL091C@chrXI:270693(-)
YNL207W	YNL207W@chrXIV:255228(+)
YOR381W	YOR381W@chrXV:1055234(+)
YEL061C	YEL061C@chrV:39660(-)
YML027W	YML027W@chrXIII:221335(+)
YHR083W	YHR083W@chrVIII:272617(+)
YAR027W	YAR027W@chrI:183671(+)
YJR013W	YJR013W@chrX:460342(+)
YDL055C	YDL055C@chrIV:356908(-)
YLR390W	YLR390W@chrXII:902852(+)
YGL095C	YGL095C@chrVII:330657(-)
YPR198W	YPR198W@chrXVI:933979(+)
YBR024W	YBR024W@chrII:289332(+)
YMR075W	YMR075W@chrXIII:413942(+)
YBL022C	YBL022C@chrII:181402(-)
YJL083W	YJL083W@chrX:278786(+)
YHR197W	YHR197W@chrVIII:493879(+)
YJR112W-A	YJR112W-A@chrX:637757(+)
YML058W-A	YML058W-A@chrXIII:158711(+)
YKL160W	YKL160W@chrXI:153261(+)
YKR050W	YKR050W@chrXI:526866(+)
YPL059W	YPL059W@chrXVI:444525(+)
YDL190C	YDL190C@chrIV:121785(-)
YGL107C	YGL107C@chrVII:306292(-)
YJR134C	YJR134C@chrX:675893(-)
YPL022W	YPL022W@chrXVI:506605(+)
YBR020W	YBR020W@chrII:278963(+)
YIR029W	YIR029W@chrIX:410715(+)
YJL189W	YJL189W@chrX:75907(+)
YDL025C	YDL025C@chrIV:407402(-)
YMR279C	YMR279C@chrXIII:826380(-)
YML029W	YML029W@chrXIII:217282(+)
YLR412W	YLR412W@chrXII:948342(+)
YDR421W	YDR421W@chrIV:1311975(+)
YNL305C	YNL305C@chrXIV:59822(-)
YJL139C	YJL139C@chrX:153082(-)
YNR073C	YNR073C@chrXIV:776300(-)
YGR244C	YGR244C@chrVII:979427(-)
YJR077C	YJR077C@chrX:578215(-)
YDR101C	YDR101C@chrIV:657489(-)
YHR129C	YHR129C@chrVIII:364233(-)
YLR128W	YLR128W@chrXII:398505(+)
YMR216C	YMR216C@chrXIII:701217(-)
YDR045C	YDR045C@chrIV:548465(-)
YCL029C	YCL029C@chrIII:69971(-)
YHL003C	YHL003C@chrVIII:102017(-)
YGL172W	YGL172W@chrVII:180668(+)
YJL126W	YJL126W@chrX:184494(+)
YGR258C	YGR258C@chrVII:1010794(-)
YPR016C	YPR016C@chrXVI:593161(-)
YOL136C	YOL136C@chrXV:68976(-)
YBR201C-A	YBR201C-A@chrII:624760(-)
YOR151C	YOR151C@chrXV:616945(-)
YNL127W	YNL127W@chrXIV:383934(+)
YJR150C	YJR150C@chrX:709744(-)
YHL045W	YHL045W@chrVIII:12096(+)
YML095C	YML095C@chrXIII:82139(-)
YOR047C	YOR047C@chrXV:417814(-)
YPR011C	YPR011C@chrXVI:584145(-)
YPR132W	YPR132W@chrXVI:794941(+)
YML092C	YML092C@chrXIII:86760(-)
YGL119W	YGL119W@chrVII:284390(+)
YDL074C	YDL074C@chrIV:326221(-)
YBR033W	YBR033W@chrII:301921(+)
YBR045C	YBR045C@chrII:330200(-)
YBL054W	YBL054W@chrII:117474(+)
YML034W	YML034W@chrXIII:209457(+)
YER078C	YER078C@chrV:318550(-)
YDL176W	YDL176W@chrIV:141960(+)
YLR411W	YLR411W@chrXII:947222(+)
YDL238C	YDL238C@chrIV:30482(-)
YPR006C	YPR006C@chrXVI:569060(-)
YMR015C	YMR015C@chrXIII:302539(-)
YOR116C	YOR116C@chrXV:544352(-)
YOR215C	YOR215C@chrXV:747312(-)
YKL170W	YKL170W@chrXI:130561(+)
YDR036C	YDR036C@chrIV:524723(-)
YGL059W	YGL059W@chrVII:392188(+)
YCL018W	YCL018W@chrIII:91296(+)
YER151C	YER151C@chrV:472498(-)
YOR323C	YOR323C@chrXV:922924(-)
YHR151C	YHR151C@chrVIII:401016(-)
YPR119W	YPR119W@chrXVI:771304(+)
YDR180W	YDR180W@chrIV:821152(+)
YCR051W	YCR051W@chrIII:214047(+)
YGL229C	YGL229C@chrVII:67188(-)
YGR061C	YGR061C@chrVII:616084(-)
YIL065C	YIL065C@chrIX:241814(-)
YNR012W	YNR012W@chrXIV:647340(+)
YGR033C	YGR033C@chrVII:555044(-)
YPR163C	YPR163C@chrXVI:870041(-)
YER064C	YER064C@chrV:284312(-)
YAL023C	YAL023C@chrI:108639(-)
YOR110W	YOR110W@chrXV:528858(+)
YGR089W	YGR089W@chrVII:656693(+)
YOR293W	YOR293W@chrXV:867058(+)
YML020W	YML020W@chrXIII:230955(+)
YDL226C	YDL226C@chrIV:52196(-)
YOL034W	YOL034W@chrXV:259896(+)
YDL028C	YDL028C@chrIV:403467(-)
YKR067W	YKR067W@chrXI:567851(+)
YPL189C-A	YPL189C-A@chrXVI:188604(-)
YNR046W	YNR046W@chrXIV:707776(+)
YDL045C	YDL045C@chrIV:373718(-)
YLR060W	YLR060W@chrXII:260950(+)
YBR094W	YBR094W@chrII:431970(+)
YLR025W	YLR025W@chrXII:194378(+)
YMR224C	YMR224C@chrXIII:720703(-)
YOR022C	YOR022C@chrXV:375887(-)
YML098W	YML098W@chrXIII:77243(+)
YPR162C	YPR162C@chrXVI:868323(-)
YIL005W	YIL005W@chrIX:345559(+)
YLR182W	YLR182W@chrXII:517907(+)
YLR099C	YLR099C@chrXII:341028(-)
YNL246W	YNL246W@chrXIV:185453(+)
YGR161C	YGR161C@chrVII:809514(-)
YPL176C	YPL176C@chrXVI:218390(-)
YMR040W	YMR040W@chrXIII:350289(+)
YDL012C	YDL012C@chrIV:431534(-)
YGR097W	YGR097W@chrVII:678646(+)
YKR086W	YKR086W@chrXI:599833(+)
YJR117W	YJR117W@chrX:641977(+)
YCR022C	YCR022C@chrIII:158029(-)
YCR004C	YCR004C@chrIII:120500(-)
YNL218W	YNL218W@chrXIV:237995(+)
YJL140W	YJL140W@chrX:150867(+)
YJL137C	YJL137C@chrX:156210(-)
YDR335W	YDR335W@chrIV:1140811(+)
YMR208W	YMR208W@chrXIII:684449(+)
YBR103W	YBR103W@chrII:447543(+)
YMR176W	YMR176W@chrXIII:611638(+)
YNL223W	YNL223W@chrXIV:227366(+)
YHR147C	YHR147C@chrVIII:393318(-)
YFR052W	YFR052W@chrVI:252478(+)
YML113W	YML113W@chrXIII:44007(+)
YDL100C	YDL100C@chrIV:283212(-)
YMR167W	YMR167W@chrXIII:594867(+)
YKL135C	YKL135C@chrXI:188725(-)
YKL041W	YKL041W@chrXI:360049(+)
YER081W	YER081W@chrV:322213(+)
YDR515W	YDR515W@chrIV:1473202(+)
YDR298C	YDR298C@chrIV:1058932(-)
YBL085W	YBL085W@chrII:63674(+)
YPR030W	YPR030W@chrXVI:627866(+)
YLR227C	YLR227C@chrXII:592237(-)
YDR143C	YDR143C@chrIV:744020(-)
YBR069C	YBR069C@chrII:378538(-)
YPL153C	YPL153C@chrXVI:264332(-)
YPL047W	YPL047W@chrXVI:465845(+)
YNL291C	YNL291C@chrXIV:86027(-)
YLR306W	YLR306W@chrXII:744084(+)
YGR245C	YGR245C@chrVII:982155(-)
YLR209C	YLR209C@chrXII:561738(-)
YNL316C	YNL316C@chrXIV:43131(-)
YOR367W	YOR367W@chrXV:1025982(+)
YPL096W	YPL096W@chrXVI:366911(+)
YPL193W	YPL193W@chrXVI:181361(+)
YKL036C	YKL036C@chrXI:369991(-)
YDR133C	YDR133C@chrIV:721533(-)
YOR150W	YOR150W@chrXV:611972(+)
YPL125W	YPL125W@chrXVI:313229(+)
YOL114C	YOL114C@chrXV:103942(-)
YOL002C	YOL002C@chrXV:324371(-)
YNL136W	YNL136W@chrXIV:370348(+)
YBR070C	YBR070C@chrII:379955(-)
YDR339C	YDR339C@chrIV:1150538(-)
YGL254W	YGL254W@chrVII:22295(+)
YHR136C	YHR136C@chrVIII:375293(-)
YLR051C	YLR051C@chrXII:246998(-)
YGR233C	YGR233C@chrVII:958399(-)
YLR292C	YLR292C@chrXII:720389(-)
YBR154C	YBR154C@chrII:549100(-)
YDR165W	YDR165W@chrIV:784829(+)
YOR369C	YOR369C@chrXV:1028693(-)
YBR110W	YBR110W@chrII:458837(+)
YOL154W	YOL154W@chrXV:34611(+)
YLR317W	YLR317W@chrXII:765361(+)
YMR016C	YMR016C@chrXIII:305817(-)
YIL146C	YIL146C@chrIX:76129(-)
YKR008W	YKR008W@chrXI:452169(+)
YMR091C	YMR091C@chrXIII:451406(-)
YBR043C	YBR043C@chrII:324094(-)
YOR354C	YOR354C@chrXV:1003250(-)
YKL193C	YKL193C@chrXI:79921(-)
YGR018C	YGR018C@chrVII:525633(-)
YMR039C	YMR039C@chrXIII:349622(-)
YHR039C-A	YHR039C-A@chrVIII:187706(-)
YDL124W	YDL124W@chrIV:240206(+)
YCR064C	YCR064C@chrIII:228507(-)
YER163C	YER163C@chrV:503790(-)
YDL087C	YDL087C@chrIV:301012(-)
YLR401C	YLR401C@chrXII:924490(-)
YFR024C-A	YFR024C-A@chrVI:203458(-)
YBR299W	YBR299W@chrII:805323(+)
YER101C	YER101C@chrV:361828(-)
YLR420W	YLR420W@chrXII:963765(+)
YGR251W	YGR251W@chrVII:995611(+)
YPL134C	YPL134C@chrXVI:299523(-)
YFR021W	YFR021W@chrVI:194718(+)
YFR005C	YFR005C@chrVI:155917(-)
YGL129C	YGL129C@chrVII:269146(-)
YIR037W	YIR037W@chrIX:423067(+)
YOR020W-A	YOR020W-A@chrXV:371659(+)
YER062C	YER062C@chrV:280748(-)
YGL082W	YGL082W@chrVII:355737(+)
YPL179W	YPL179W@chrXVI:207988(+)
YAR029W	YAR029W@chrI:185918(+)
YMR002W	YMR002W@chrXIII:272159(+)
YLR312W-A	YLR312W-A@chrXII:759468(+)
YBL009W	YBL009W@chrII:207160(+)
YDR196C	YDR196C@chrIV:850999(-)
YNL035C	YNL035C@chrXIV:569723(-)
YDL237W	YDL237W@chrIV:30634(+)
YCR030C	YCR030C@chrIII:176523(-)
YHL026C	YHL026C@chrVIII:54241(-)
YML106W	YML106W@chrXIII:56468(+)
YJL088W	YJL088W@chrX:268777(+)
YML032C	YML032C@chrXIII:213970(-)
YBR181C	YBR181C@chrII:592803(-)
YCR068W	YCR068W@chrIII:237060(+)
YJL006C	YJL006C@chrX:424168(-)
YKL149C	YKL149C@chrXI:168849(-)
YKL119C	YKL119C@chrXI:219260(-)
YJL025W	YJL025W@chrX:393887(+)
YKL020C	YKL020C@chrXI:402146(-)
YMR290C	YMR290C@chrXIII:851618(-)
YFL029C	YFL029C@chrVI:79200(-)
YKL047W	YKL047W@chrXI:349442(+)
YGL128C	YGL128C@chrVII:270150(-)
YKR013W	YKR013W@chrXI:463919(+)
YJL145W	YJL145W@chrX:145125(+)
YGL113W	YGL113W@chrVII:295904(+)
YER071C	YER071C@chrV:302336(-)
YNL277W-A	YNL277W-A@chrXIV:116677(+)
YER080W	YER080W@chrV:319932(+)
YGR236C	YGR236C@chrVII:962841(-)
YGR008C	YGR008C@chrVII:508451(-)
YDL149W	YDL149W@chrIV:184880(+)
YOL110W	YOL110W@chrXV:109155(+)
YLR274W	YLR274W@chrXII:691516(+)
YLL018C	YLL018C@chrXII:111585(-)
YGR211W	YGR211W@chrVII:915186(+)
YPL191C	YPL191C@chrXVI:184728(-)
YOR062C	YOR062C@chrXV:444209(-)
YJL102W	YJL102W@chrX:231259(+)
YIR041W	YIR041W@chrIX:432511(+)
YMR222C	YMR222C@chrXIII:716337(-)
YOR031W	YOR031W@chrXV:389189(+)
YDR292C	YDR292C@chrIV:1045143(-)
YCL032W	YCL032W@chrIII:63388(+)
YDL165W	YDL165W@chrIV:164241(+)
YML082W	YML082W@chrXIII:101807(+)
YPR028W	YPR028W@chrXVI:623472(+)
YFR043C	YFR043C@chrVI:239858(-)
YHR191C	YHR191C@chrVIII:486646(-)
YDR465C	YDR465C@chrIV:1394617(-)
YKL212W	YKL212W@chrXI:34342(+)
YGR047C	YGR047C@chrVII:589504(-)
YGL078C	YGL078C@chrVII:361929(-)
YJL047C-A	YJL047C-A@chrX:349232(-)
YLR144C	YLR144C@chrXII:432035(-)
YDR418W	YDR418W@chrIV:1301582(+)
YDR349C	YDR349C@chrIV:1174281(-)
YBR268W	YBR268W@chrII:741281(+)
YJL016W	YJL016W@chrX:405320(+)
YMR112C	YMR112C@chrXIII:494550(-)
YNR001W-A	YNR001W-A@chrXIV:631206(+)
YJL069C	YJL069C@chrX:312722(-)
YJL060W	YJL060W@chrX:323369(+)
YGL219C	YGL219C@chrVII:84284(-)
YOR333C	YOR333C@chrXV:944994(-)
YDR009W	YDR009W@chrIV:463363(+)
YJL066C	YJL066C@chrX:314910(-)
YPR105C	YPR105C@chrXVI:739642(-)
YMR102C	YMR102C@chrXIII:472509(-)
YAL055W	YAL055W@chrI:42170(+)
YGR073C	YGR073C@chrVII:636070(-)
YMR011W	YMR011W@chrXIII:288041(+)
YCL057W	YCL057W@chrIII:24760(+)
YEL072W	YEL072W@chrV:13590(+)
YIR014W	YIR014W@chrIX:381062(+)
YHR105W	YHR105W@chrVIII:324680(+)
YLR079W	YLR079W@chrXII:286780(+)
YLL013C	YLL013C@chrXII:124956(-)
YDL111C	YDL111C@chrIV:264179(-)
YPR036W-A	YPR036W-A@chrXVI:645875(+)
YGL190C	YGL190C@chrVII:147934(-)
YDR081C	YDR081C@chrIV:610168(-)
YJL158C	YJL158C@chrX:122985(-)
YLR299W	YLR299W@chrXII:725987(+)
YJL122W	YJL122W@chrX:189699(+)
YBL028C	YBL028C@chrII:167885(-)
YGR048W	YGR048W@chrVII:589771(+)
YDR006C	YDR006C@chrIV:461398(-)
YNR010W	YNR010W@chrXIV:643702(+)
YOL082W	YOL082W@chrXV:168457(+)
YDR173C	YDR173C@chrIV:811695(-)
YMR106C	YMR106C@chrXIII:480239(-)
YGR031W	YGR031W@chrVII:546369(+)
YNR034W	YNR034W@chrXIV:690209(+)
YBL015W	YBL015W@chrII:194045(+)
YGR267C	YGR267C@chrVII:1025910(-)
YIR026C	YIR026C@chrIX:406021(-)
YKL148C	YKL148C@chrXI:171281(-)
YJR051W	YJR051W@chrX:529792(+)
YDL179W	YDL179W@chrIV:138196(+)
YDR524C	YDR524C@chrIV:1489057(-)
YPL274W	YPL274W@chrXVI:22886(+)
YOL056W	YOL056W@chrXV:223205(+)
YGL029W	YGL029W@chrVII:440018(+)
YLR114C	YLR114C@chrXII:377303(-)
YCR019W	YCR019W@chrIII:152689(+)
YDR181C	YDR181C@chrIV:827356(-)
YDR477W	YDR477W@chrIV:1412079(+)
YER019W	YER019W@chrV:192417(+)
YBR173C	YBR173C@chrII:582200(-)
YKL106C-A	YKL106C-A@chrXI:237269(-)
YDL128W	YDL128W@chrIV:232591(+)
YFR049W	YFR049W@chrVI:248361(+)
YDR321W	YDR321W@chrIV:1108671(+)
YDR027C	YDR027C@chrIV:497441(-)
YJL138C	YJL138C@chrX:154742(-)
YDR289C	YDR289C@chrIV:1039535(-)
YCL058W-A	YCL058W-A@chrIII:23562(+)
YLR197W	YLR197W@chrXII:546061(+)
YLR224W	YLR224W@chrXII:586317(+)
YGL157W	YGL157W@chrVII:208957(+)
YDR243C	YDR243C@chrIV:950313(-)
YDR353W	YDR353W@chrIV:1183251(+)
YHR142W	YHR142W@chrVIII:383405(+)
YJL127C-B	YJL127C-B@chrX:181808(-)
YKL098W	YKL098W@chrXI:256744(+)
YIR016W	YIR016W@chrIX:382598(+)
YGL100W	YGL100W@chrVII:313197(+)
YNL253W	YNL253W@chrXIV:169986(+)
YJL002C	YJL002C@chrX:434707(-)
YGR077C	YGR077C@chrVII:639553(-)
YHR110W	YHR110W@chrVIII:332253(+)
YEL026W	YEL026W@chrV:101853(+)
YDL008W	YDL008W@chrIV:433467(+)
YIR031C	YIR031C@chrIX:414800(-)
YML120C	YML120C@chrXIII:29867(-)
YNL138W-A	YNL138W-A@chrXIV:366004(+)
YPR054W	YPR054W@chrXVI:665584(+)
YGR234W	YGR234W@chrVII:959884(+)
YPR161C	YPR161C@chrXVI:866499(-)
YPL103C	YPL103C@chrXVI:359425(-)
YDR041W	YDR041W@chrIV:539795(+)
YBL001C	YBL001C@chrII:237478(-)
YLR378C	YLR378C@chrXII:877383(-)
YMR088C	YMR088C@chrXIII:445219(-)
YLR193C	YLR193C@chrXII:540589(-)
YPR154W	YPR154W@chrXVI:834521(+)
YFL036W	YFL036W@chrVI:58563(+)
